City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
571,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.74,63,83,7.45,broken clouds
572,Ponta Delgada,PT,37.7333,-25.6667,65.12,77,20,9.22,few clouds
573,Flagstaff,US,35.1981,-111.6513,51.46,56,1,5.01,clear sky
574,Songjianghe,CN,42.1859,127.479,51.21,36,0,4.94,clear sky
575,Udankudi,IN,8.4333,78.0167,93.38,62,98,2.19,overcast clouds
576,Wicklow,IE,53,-6.4167,50.05,95,91,11.54,overcast clouds
577,Payo,ID,-3.7508,103.6372,89.02,62,91,1.32,overcast clouds
578,Nanning,CN,22.8167,108.3167,73.85,56,37,7.43,scattered clouds
579,Katherine,AU,-14.4667,132.2667,97.12,32,75,10.36,broken clouds
580,Soskovo,RU,52.7475,35.3828,39.96,76,67,15.93,light rain
581,Awbari,LY,26.5921,12.7805,75.88,19,12,10.85,few clouds
582,Bilma,NE,18.6853,12.9164,76.42,17,33,6.33,scattered clouds
583,Columbia,US,34.0007,-81.0348,55.53,88,1,0,clear sky
584,Vangaindrano,MG,-23.35,47.6,78.15,76,19,6.82,few clouds
585,Vila,PT,42.0304,-8.1588,44.33,74,0,2.98,clear sky
586,San Luis,AR,-33.295,-66.3356,56.19,29,0,6.67,clear sky
587,Bonthe,SL,7.5264,-12.505,75.31,93,85,4.05,light rain
588,San Andres,CO,12.5847,-81.7006,80.62,89,40,4.61,scattered clouds
589,Rochester,US,43.1548,-77.6156,44.24,89,90,0,overcast clouds
590,Augustdorf,DE,51.9094,8.7317,39.79,90,57,6.15,broken clouds
591,Tshikapa,CD,-6.4167,20.8,71.22,93,73,2.21,broken clouds
592,Yerbogachen,RU,61.2767,108.0108,32.22,93,100,11.92,light snow
593,Hanna,CA,51.6334,-111.9018,39.22,93,100,1.99,overcast clouds
594,Longkou,CN,37.6508,120.3286,58.84,53,26,6.42,scattered clouds
595,Tenochtitlan,MX,24.0769,-104.5844,58.89,61,1,6.02,clear sky
596,Terrak,NO,65.087,12.3715,42.67,89,100,8.95,light rain
597,Smithers,CA,54.7804,-127.1743,30.52,93,90,3.44,overcast clouds
598,Severnyy,RU,50.677,36.5532,35.64,75,0,11.18,clear sky
599,Wenatchee,US,47.4235,-120.3103,49.57,81,90,1.99,overcast clouds
600,Cabildo,AR,-38.4842,-61.8954,47.25,55,0,11.18,clear sky
601,Faya,SA,18.3851,42.4509,64.51,23,6,4.12,clear sky
602,Praia Da Vitoria,PT,38.7333,-27.0667,62.85,88,20,10.92,few clouds
603,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.41,87,75,9.89,broken clouds
604,Vinh,VN,18.6667,105.6667,68.99,73,100,8.41,overcast clouds
605,Norfolk,US,42.1668,-71.2495,50.88,76,90,0,overcast clouds
606,Daru,PG,-9.0763,143.2092,84.18,74,99,13.49,overcast clouds
607,Bontang,ID,0.1333,117.5,85.44,69,85,8.52,overcast clouds
608,Dickinson,US,29.4608,-95.0513,73.04,92,40,1.01,scattered clouds
609,Martinsburg,US,39.4562,-77.9639,53.11,89,90,0,overcast clouds
610,Rocha,UY,-34.4833,-54.3333,50.32,93,14,7.45,few clouds
611,Asekeyevo,RU,53.5742,52.7972,45.57,95,100,7.4,overcast clouds
612,Tyulgan,RU,52.3405,56.166,47.55,89,100,17.05,moderate rain
613,Aromashevo,RU,56.8602,68.6375,44.71,80,23,13.04,few clouds
614,Kaduna,NG,10.5222,7.4383,67.42,93,60,3.09,broken clouds
615,Port Hueneme,US,34.1478,-119.1951,63.63,85,1,6.91,clear sky
616,Verkhniy Avzyan,RU,53.5289,57.5372,46.81,90,100,10.83,light rain
617,Kandrian,PG,-6.2167,149.55,84.43,71,46,10.92,scattered clouds
618,Mogwase,ZA,-25.185,27.2665,64.47,24,2,8.16,clear sky
619,Tommot,RU,58.9564,126.2925,38.52,89,100,9.26,overcast clouds
620,Miandrivazo,MG,-19.5167,45.4667,84.24,31,0,0.31,clear sky
621,Ahmadpur,IN,18.7,76.9333,77.18,54,18,3.98,few clouds
622,Tigre,AR,-34.426,-58.5796,57.2,60,0,4.61,clear sky
623,Marzuq,YE,14.4,46.4667,73.04,28,97,3.51,overcast clouds
624,Kirakira,SB,-10.4544,161.9205,85.1,73,10,12.21,clear sky
625,Virginia Beach,US,36.8529,-75.978,60.03,85,20,0,few clouds
626,Harwich,GB,51.9419,1.2844,55.22,70,54,8.99,broken clouds
627,Sri Aman,MY,1.2376,111.4621,89.65,66,40,3.44,scattered clouds
628,Primorsk,UA,46.7348,36.3443,48.34,58,100,7.92,overcast clouds
629,Mantua,IT,45.1667,10.7833,55.71,75,54,5.01,broken clouds
630,Te Anau,NZ,-45.4167,167.7167,54.48,94,100,0.74,overcast clouds
631,Kalabo,ZM,-14.97,22.6814,77,51,85,3.13,overcast clouds
632,Caernarfon,GB,53.1413,-4.2702,54.68,45,90,26.46,light rain
633,Wanning,CN,18.8003,110.3967,77.13,76,86,15.77,overcast clouds
634,Ayagoz,KZ,47.9714,80.4392,42.96,38,28,11.34,scattered clouds
635,Laizhou,CN,37.1717,119.9214,62.62,40,21,6.53,few clouds
636,Bani,DO,18.2833,-70.3333,78.85,79,43,7.11,scattered clouds
637,Half Moon Bay,US,37.4636,-122.4286,61.9,88,90,3,mist
638,Novikovo,RU,51.1537,37.8879,37.44,76,53,8.34,broken clouds
639,General Roca,AR,-39.0333,-67.5833,57.61,42,2,29.21,clear sky
640,Guadalupe Y Calvo,MX,26.1,-106.9667,46.35,82,0,4.85,clear sky
641,Muisne,EC,0.6,-80.0333,75.61,87,100,8.39,overcast clouds
642,Kiama,AU,-34.6833,150.8667,70,51,29,9.26,scattered clouds
643,Great Yarmouth,GB,52.6083,1.7305,54.23,78,82,15.86,broken clouds
644,Yinchuan,CN,38.4681,106.2731,57.78,35,36,1.28,scattered clouds
645,Zarubino,RU,42.63,131.0922,57.29,38,0,8.66,clear sky
646,Issenye,TZ,-2,34.3333,73.24,56,89,5.35,overcast clouds
647,Wajir,KE,1.7471,40.0573,79.3,61,33,12.12,scattered clouds
648,Rankovce,MK,42.1696,22.1162,48.99,79,100,6.64,overcast clouds
649,Mildura,AU,-34.2,142.15,70.07,33,4,12.15,clear sky
650,Mackenzie,CA,55.2999,-123.1698,39.42,93,90,2.3,overcast clouds
651,Thinadhoo,MV,0.5333,72.9333,83.44,71,59,13.42,broken clouds
652,Jamalpur,BD,24.9167,89.9333,81.86,62,8,0.74,clear sky
653,Lewiston,US,44.1003,-70.2148,43.39,86,1,0,clear sky
654,Ayan,RU,56.45,138.1667,41.77,57,90,6.2,overcast clouds
655,Ternate,ID,0.8,127.4,84.31,70,98,4.36,overcast clouds
656,Srikakulam,IN,18.3,83.9,83.39,57,63,4.81,broken clouds
657,Tiznit,MA,29.5833,-9.5,61.52,59,29,1.79,scattered clouds
658,Samoded,RU,63.6083,40.5111,25.72,93,100,3.58,light snow
659,Yaguajay,CU,22.3272,-79.2378,76.53,85,80,2.13,broken clouds
